Pokemon,Type,PCA_X,PCA_Y
Staryu,#149EFF,0.7828299350422266,-0.27784693545925515
Starmie,#149EFF,0.9323455062332092,-0.10197482708301535
Scyther,#A8B820,0.7724318893195949,-0.07864200930049897
Jynx,#98D8D8,0.7325628575085168,-0.005903001520535792
Electabuzz,#F8D030,0.7453410629839259,0.12781228944598114
Magmar,#F08030,0.7910407740604593,-0.030447604385945334
Pinsir,#A8B820,0.8923265364051968,-0.08038531579543305
Tauros,#A8A878,0.7359431433668903,0.24253929686863027
Magikarp,#149EFF,0.6155543003788,-0.13270059990763727
Gyarados,#149EFF,0.7541199154299959,0.3953978165726667
Lapras,#149EFF,0.7590930683036128,0.2600939102146512
Ditto,#A8A878,0.7656888339347109,-0.34505873802428233
Eevee,#A8A878,0.6679738518690439,0.034167916630130454
Vaporeon,#149EFF,0.7378020722701853,0.22030769889344032
Jolteon,#F8D030,0.7229674255033327,0.10893884227652281
Flareon,#F08030,0.7606621661256451,0.028451931901122777
Porygon,#A8A878,0.6475273408691027,0.17302921147022238
Omanyte,#B8A038,0.6683529775665408,-0.010010524672306422
Omastar,#B8A038,0.7496950001236748,0.2230063351076446
Kabuto,#B8A038,0.7085633887733512,0.015853958931368987
Kabutops,#B8A038,0.7269829901307022,0.1628329745280606
Aerodactyl,#B8A038,0.6936017835495434,0.3392493906483067
Snorlax,#A8A878,0.7383631792213535,0.20453080095421364
Articuno,#98D8D8,0.6713041055085671,0.3112956127254397
Zapdos,#F8D030,0.7127204938662953,0.2874586221077083
Moltres,#F08030,0.7477848322634565,0.2864307837471907
Dratini,#700AEE,0.7457842813707269,-0.052616268597149726
Dragonair,#700AEE,0.7498970055187922,0.1608102044747973
Dragonite,#700AEE,0.7730206811820314,0.345544803800967
Mewtwo,#FF6996,0.8461439986520564,0.05972085058356073
Mew,#FF6996,0.7487471672344398,0.3777726979095097
Chikorita,#2DCD45,-1.1136241768606894,-0.006433856581558771
Bayleef,#2DCD45,-1.151137749400071,-0.016552316947707462
Meganium,#2DCD45,-1.1042592848832258,0.0030060886160044823
Cyndaquil,#F08030,-1.1711042552505897,-0.0060648667122032525
Quilava,#F08030,-1.0692640834855032,0.0022897946510247705
Typhlosion,#F08030,-1.1364226940576918,-0.017897323404958525
Totodile,#149EFF,-1.1010285209979838,0.0017020241484223435
Croconaw,#149EFF,-1.188076671891504,-0.012046485318849828
Feraligatr,#149EFF,-1.0993318721441137,-0.010662258635965162
Sentret,#A8A878,-1.066217353718922,0.00791066358941575
Furret,#A8A878,-1.120787280765819,0.003839377813379839
Hoothoot,#A8A878,-1.1213932150896309,-0.002164401479380644
Noctowl,#A8A878,-1.1337602302514742,-0.005168470816262393
Ledyba,#A8B820,-1.1365081929810517,-0.0019422715494032095
Ledian,#A8B820,-1.128613320030017,-0.006068985069948131
Spinarak,#A8B820,-1.1748037324540204,-0.007300139761533198
Ariados,#A8B820,-1.0825600217262976,-0.004690743360442914
Crobat,#883688,-1.1502855294423575,-0.008423139685508351
Chinchou,#149EFF,-1.0981690847916816,0.0005830981821641655
Lanturn,#149EFF,-1.1121685229624232,0.00408460183621327
Pichu,#F8D030,-1.093650327398963,-0.008596757541555564
Cleffa,#EE99AC,-1.096887856989304,-0.0021190497351352825
Igglybuff,#A8A878,-1.2094317118356388,-0.0204351674769383
Togepi,#EE99AC,-1.134172027284801,-0.01234774997423051
Togetic,#EE99AC,-1.172037524667786,-0.011547538386314116
Natu,#FF6996,-1.1525609829674006,-0.003946412493125666
Xatu,#FF6996,-1.1403732462131173,-0.00760805327912724
Mareep,#F8D030,-1.14972088305375,-0.002420721427033135
Flaaffy,#F8D030,-1.1224410277955827,-0.004759486186604023
Ampharos,#F8D030,-1.1567431544666955,-0.005212403220022683
Bellossom,#2DCD45,-1.1185947931568145,0.0070125605600560885
Marill,#149EFF,-1.1083464814380963,-0.006629564271078444
Azumarill,#149EFF,-1.068825687118398,0.0016905777520639974
Sudowoodo,#B8A038,-1.1087685914356238,-0.0010408955212156718
Politoed,#149EFF,-1.0644966403039822,0.001927938290095284
Hoppip,#2DCD45,-1.1159400250805749,-0.001100466238587107
Skiploom,#2DCD45,-1.1227134607868468,-0.005949443285783365
Jumpluff,#2DCD45,-1.059190096966652,0.0013330651426808585
Aipom,#A8A878,-1.1076400930006955,-0.005785786343925781
Sunkern,#2DCD45,-1.1259287859866602,-0.006973400917117086
Sunflora,#2DCD45,-1.0948451593173376,0.0070986578927191195
