Term,PCA_X,PCA_Y
Ditto,0.4517207393516625,-0.33753018651662897
Eevee,0.3610287189972178,-0.12700901511965607
Vaporeon,0.4363898172800269,-0.06526191864271387
Jolteon,0.4155785264196123,-0.15735269198059185
Flareon,0.4511202042605316,-0.203000356179945
Porygon,0.3462718501957727,-0.06348462751814377
Omanyte,0.36473111101500305,-0.07722236257536698
Omastar,0.44233312662283886,-0.14091319970486782
Kabuto,0.4060928229647759,-0.05267945425030504
Kabutops,0.4198721059217176,-0.14973168185034894
Aerodactyl,0.39125201918383495,-0.032445125656344366
Snorlax,0.43344811002991074,-0.10932326485864764
Articuno,0.3688183897183558,-0.03473532677972244
Zapdos,0.4057414044954188,-0.10850423371230476
Moltres,0.43958332219608237,-0.13084857259703
Dratini,0.4481584912654966,-0.05313293067916831
Dragonair,0.4402426853819153,-0.13122422769426437
Dragonite,0.4629651874501561,-0.12900745503690153
Mewtwo,0.5334448786296072,-0.2517068330380601
Mew,0.44619621630300044,-0.004282166893934594
Chikorita,-1.413292585120812,-0.022281678375559076
Bayleef,-1.451377767711397,-0.030315430267639137
Meganium,-1.4038571063292755,-0.013895101193654315
Cyndaquil,-1.4709233250825464,-0.01908837913997683
Quilava,-1.3682793839953493,-0.02010133299533495
Typhlosion,-1.433632496107332,-0.005771273993787606
Totodile,-1.4014284397371484,-0.030526668502052285
Croconaw,-1.4859266097242079,-0.008454468708263493
Feraligatr,-1.3990369632995872,-0.023150157561958127
Sentret,-1.365521922996896,-0.01992898363101488
Furret,-1.4212689840183772,-0.02170279518487316
Hoothoot,-1.4213409529828611,-0.02397492401983463
Noctowl,-1.4338204369001486,-0.023403485497708612
Ledyba,-1.4371534529536525,-0.025339801522290237
Ledian,-1.4274011780320874,-0.016060569100324197
Spinarak,-1.4728198640435355,-0.005772628607222483
Ariados,-1.38136902652153,-0.014477290711351985
Crobat,-1.4505952296290632,-0.02381668627444002
Chinchou,-1.3968294487682102,-0.01392072742850195
Lanturn,-1.4126159664719282,-0.027059373286406688
Pichu,-1.3925453434616335,-0.015962919508115746
Cleffa,-1.3967958887663825,-0.024117622150798046
Igglybuff,-1.5087965672392487,-0.01593173317296712
Togepi,-1.4330973352567418,-0.020120160226827846
Togetic,-1.470948492675073,-0.012926475147053154
Natu,-1.4526859418074873,-0.023000670494081877
Xatu,-1.4410269242270126,-0.026660265362325745
Mareep,-1.4493913220244679,-0.01418702282033278
Flaaffy,-1.421531724334282,-0.017374871380296284
Ampharos,-1.455206542303124,-0.006384536624456231
Bellossom,-1.4174960403031884,-0.017185896503973508
Marill,-1.4067781267674921,-0.010550403401996953
Azumarill,-1.3674426724258086,-0.017751975932947958
Sudowoodo,-1.408042347573214,-0.01755537848440464
Politoed,-1.363511049931078,-0.020998005959530705
Hoppip,-1.4159724794735142,-0.02765341432122167
Skiploom,-1.4225066558639556,-0.01954480076590989
Jumpluff,-1.3586796248137576,-0.027602246581001008
Aipom,-1.4067080312188167,-0.019688699011432845
Sunkern,-1.424587296419155,-0.012137302053727927
Sunflora,-1.3952176800682587,-0.01997411298265585
Yanma,-1.4271854825900996,-0.020444808489671316
Wooper,-1.459288549455081,-0.01466178830409583
Quagsire,-1.4141438262957189,-0.018570226603235897
Espeon,-1.4303610195172232,-0.015154325276124307
Umbreon,-1.450739550610516,-0.014508546821997278
Murkrow,-1.395229226784789,-0.0054803648067836335
Slowking,-1.4601678513273615,-0.0010563292261662677
Misdreavus,-1.454670270677946,-0.015290682556777107
Unown,-1.4076968276489548,-0.007855436621860409
Wobbuffet,-1.439532650722632,-0.01812930188209547
Girafarig,-1.43917847669398,-0.027667797907683256
Pineco,-1.499518281100699,-0.028116103844156595
Forretress,-1.4233489205700165,-0.014805270556203417
Dunsparce,-1.4388989624163053,-0.04037007845969081
Gligar,-1.4285921677962115,-0.02624512279675554
Steelix,-1.3521865571541123,-0.020586854761450397
Snubbull,-1.4452564377749793,-0.0236558541028762
Granbull,-1.478582554683979,-0.014042086683392135
Qwilfish,-1.421664608171315,-0.015106121200525503
Scizor,-1.439500665690106,-0.022363063882144724
Shuckle,-1.4744649726577443,-0.004440276337548642
Heracross,-1.3984688054618735,-0.017807814365220782
Sneasel,-1.418318811462326,-0.011829788128150916
Teddiursa,-1.4330929435179112,-0.016758901316729875
Ursaring,-1.374750676821445,-0.010447485732509254
Slugma,-1.4296442828116138,-0.016696065609601005
Magcargo,-1.4425283918095488,-0.028240664795115368
Swinub,-1.4229038844746962,-0.016882790229310073
Piloswine,-1.4155555542590341,-0.028472618869526754
Corsola,-1.366211166081903,-0.017631856913450712
Remoraid,-1.4329403998405852,-0.010910788846456519
Octillery,-1.4248192152742816,-0.023993082287087478
Delibird,-1.4184950422220266,-0.008518681480032712
Mantine,-1.4320055802049942,-0.01892182405018523
Skarmory,-1.429316437824754,-0.021941476690298264
Houndour,-1.4283863097659901,-0.01616117672684848
Houndoom,-1.4600888608597702,-0.017317143275421335
Kingdra,-1.4249895099085816,-0.016716866510544534
Phanpy,-1.4133776414006594,-0.023600955719441284
Donphan,-1.4189306723103772,-0.01955511993310478
Porygon2,-1.4415737641264077,-0.017821958217985205
Stantler,-1.4096838839998105,-0.018917335395542058
Smeargle,-1.4628605923709554,-0.020092336074223206
Tyrogue,-1.4121803861077413,-0.01718183670754189
Hitmontop,-1.4622994628253863,-0.019031461834951535
Smoochum,-1.4385124005053918,-0.02270626769867501
Elekid,-1.4004515899007028,-0.00731104309924466
Magby,-1.4504427806687699,-0.010346185380725416
Miltank,-1.468704033928427,-0.012636183389149932
Blissey,-1.4429570289885814,-0.012167883623844501
Raikou,-1.4189105172358292,-0.015298759520873902
Entei,-1.4257223454354233,-0.023762128225073738
Suicune,-1.435340515686373,-0.02321305820807829
Larvitar,-1.4545941279788965,-0.0158555176018605
Pupitar,-1.4339435782897645,-0.02946997489152364
Tyranitar,-1.4031898714119777,-0.013588380473240406
Lugia,-1.4043177655547248,-0.019005988970096716
Ho-Oh,-1.3657386047140918,-0.018434921203574095
Celebi,-1.40163508181709,-0.018186766951446675
Absorb,0.2753872993772995,0.11047423664494496
Acid,0.41282728533656726,0.1795477306966928
Agility,0.33460921187168685,0.10971936534868541
Ancient Power,0.2408310572669964,0.2288813023621967
Aurora Beam,0.24345063329338335,0.2033727479837105
Barrage,0.3713991880773523,0.14999429243376222
Bide,0.577886696635989,0.08627641747246743
Bind,0.5864909797787456,0.1543170378655945
Bite,0.5359722348832946,0.23327383523380668
Blizzard,0.2550347516535816,0.21688440489947838
Body Slam,0.6007080128641565,0.24689921954301047
Bone Club,0.2094560056541746,0.191706773612886
Bone Rush,0.2464445133059674,0.16332808418243044
Bonemerang,0.18795075966207514,0.1888973116651022
Bubble,0.4065130884978431,0.16948241167971942
Bubble Beam,0.3885285255665356,0.16057358170200062
Bubblebeam,0.2530990201302011,0.17314641101381326
Clamp,0.27161096914960714,0.16540278133850994
Comet Punch,0.3810798580930344,0.13154654526724008
Confuse Ray,0.2887243692877454,0.16472289249829206
Confusion,0.5138161887067086,0.2064964571946388
Constrict,0.38418059436692,0.14028178911743072
Counter,0.2966813931145857,0.16086565397581598
Crabhammer,0.40677406836214247,0.2394514349492505
Cross Chop,0.17733136959387147,0.1972853361847871
Crunch,0.14740402215088133,0.19708540222863052
Cut,0.44077109249131907,0.16845524109690704
Dig,0.5150630026057914,0.12756750694955926
Dizzy Punch,0.3852110086773578,0.2168408561611269
Double Edge,0.5079567998372898,0.2235790455833342
Double Kick,0.2502193147891187,0.15150300567398597
Double Slap,0.38295983518934024,0.19536845520696403
Dragon Breath,0.19125896398862963,0.1867863676930652
Dragon Rage,0.23120242176048694,0.20486112056168662
Dream Eater,0.3426660515805428,0.192744890382803
Drill Peck,0.3204000895132714,0.10748521520523356
Dynamic Punch,0.2860386714120568,0.1801471374354604
Earthquake,0.3133799819804688,0.20269789018262543
Egg Bomb,0.43667444716996695,0.22107596942805918
Ember,0.44549586072977165,0.1630494203298018
Explosion,0.4728173753706919,0.16920143757927167
Extreme Speed,0.4178669889317569,0.20668355903783633
False Swipe,0.4462419895696505,0.1462466627423968
Feint Attack,0.160367234387208,0.15022601918593312
Fire Blast,0.33597497193936027,0.16646574123989666
Fire Punch,0.30984245015175654,0.14079720340027232
Fire Spin,0.4887793186850495,0.10230294438973611
Fissure,0.28476188859401,0.21877537030616773
Flame Wheel,0.3044163649307177,0.08676877066635563
Flamethrower,0.4763765058082343,0.2392288917884716
