Pokemon,Type,PCA_X,PCA_Y
Bellsprout,#2DCD45,0.6598112586064812,-0.23735234799459595
Weepinbell,#2DCD45,0.8739098914609386,0.20785721549358688
Victreebel,#2DCD45,0.9487206792029473,0.4383658445020666
Tentacool,#149EFF,0.6254021711937139,-0.19062658191322512
Tentacruel,#149EFF,0.6493006013610251,-0.3505269117917192
Geodude,#B8A038,0.8723518890907456,0.32110275646525427
Graveler,#B8A038,0.9450775281859033,0.2635714684737383
Golem,#B8A038,0.9165114392118074,0.24875665046603512
Ponyta,#F08030,0.8954164756268179,0.3154887183744923
Rapidash,#F08030,0.9329216074130863,0.28338475530438756
Slowpoke,#149EFF,0.6468665426053435,-0.14094811611606547
Slowbro,#149EFF,0.8804173573786134,0.2643765582464036
Magnemite,#F8D030,0.6120878440751799,-0.2105355209130428
Magneton,#F8D030,0.6357133507966946,-0.2556276171471993
Farfetch'd,#A8A878,0.5563838723465039,-0.21842546012838507
Doduo,#A8A878,0.6386114705744567,-0.30501904362595733
Dodrio,#A8A878,0.6249607132117321,-0.18642740712632405
Seel,#149EFF,0.6498466661816028,-0.2693453558833865
Dewgong,#149EFF,0.9196042680433165,0.20786042552093834
Grimer,#883688,0.6077966041426596,-0.2553725804327809
Muk,#883688,0.9049416813815302,0.34176831869887886
Shellder,#149EFF,0.5863347602873844,-0.22822000196135037
Cloyster,#149EFF,0.9063710420354458,0.23302952579108785
Gastly,#614C83,0.6161184754731206,-0.2508367922116108
Haunter,#614C83,0.5940872479740783,-0.18202323249221244
Gengar,#614C83,0.638408666376975,-0.1666554394276684
Onix,#B8A038,0.9204082118687326,0.29178644141714394
Drowzee,#FF6996,0.6316467037104704,-0.19224560282021214
Hypno,#FF6996,0.6530624530652392,-0.20001040289644065
Krabby,#149EFF,0.6140581382843254,-0.25382091392287076
Kingler,#149EFF,0.6137733911375479,-0.20774657753010256
Voltorb,#F8D030,0.857072576949961,0.2060400294672889
Electrode,#F8D030,0.6505252388417923,-0.2747462649632742
Exeggcute,#2DCD45,0.903795434950442,0.34192985177874347
Exeggutor,#2DCD45,0.6488244518910691,-0.2218855006839553
Cubone,#E0C068,0.6180120755290529,-0.29280700259348463
Marowak,#E0C068,0.6860008850210281,-0.2960259097041049
Hitmonlee,#94352D,0.8567943845980723,0.2664032116078952
Hitmonchan,#94352D,0.8483119424271377,0.19448415975821987
Lickitung,#A8A878,0.64665847202405,-0.2521080006893536
Koffing,#883688,0.8812305536760364,0.3031640405250413
Weezing,#883688,0.890223399209798,0.3879215422108589
Rhyhorn,#E0C068,0.9216207075318625,0.2830738457476806
Rhydon,#E0C068,0.9351212166365245,0.32864213850723933
Chansey,#A8A878,0.7203700416144839,-0.1638048007349093
Tangela,#2DCD45,0.9104047338781792,0.2957522611432941
Kangaskhan,#A8A878,0.6078598238417825,-0.29959504794547964
Horsea,#149EFF,0.6005734977399041,-0.18225790037364187
Seadra,#149EFF,0.6128410150094674,-0.23675463954112796
Goldeen,#149EFF,0.6437517804507942,-0.28402951327506093
Seaking,#149EFF,0.6120599903642133,-0.3284175748876675
Staryu,#149EFF,0.9029953227003117,0.17409994985172045
Starmie,#149EFF,0.975965375665386,0.23063742701021808
Scyther,#A8B820,0.6174582455086953,-0.16935828532899025
Jynx,#98D8D8,0.8711331635095733,0.30920482571288005
Electabuzz,#F8D030,0.6832479557715734,-0.2718689419307719
Magmar,#F08030,0.6028985117551395,-0.25540013906325076
Pinsir,#A8B820,0.6502785745452833,-0.31861814237778896
Tauros,#A8A878,0.6590931599541954,-0.281743974796751
Magikarp,#149EFF,0.554769213676161,-0.2690142303804168
Gyarados,#149EFF,0.6551378339438746,-0.23400287247748047
Lapras,#149EFF,0.9752296435535631,0.3488059586270285
Ditto,#A8A878,0.5751359414875278,-0.2288485325476232
Eevee,#A8A878,0.6375970868767082,-0.213683967556938
Vaporeon,#149EFF,0.9479330809609298,0.34611203217718584
Jolteon,#F8D030,0.8965354988957516,0.24934138995003516
Flareon,#F08030,0.9353742709376887,0.32827938728979067
Porygon,#A8A878,0.6236454574444811,-0.27675698440175145
Omanyte,#B8A038,0.5907332398402506,-0.23643594960916325
Omastar,#B8A038,0.6330319244916037,-0.31208749319811546
Kabuto,#B8A038,0.6388231388978227,-0.281589494562493
Kabutops,#B8A038,0.6044817382760823,-0.2475000532043118
Aerodactyl,#B8A038,0.6230475401807356,-0.26885643506019136
Snorlax,#A8A878,0.9668650217083399,0.2614483726037469
Articuno,#98D8D8,0.6237604649839944,-0.3075247146204417
Zapdos,#F8D030,0.6275403338456179,-0.24516951325431702
Moltres,#F08030,0.6921160695757821,-0.1718247929894284
Dratini,#700AEE,0.6173312056219175,-0.32012823441581056
Dragonair,#700AEE,0.6386047938780283,-0.2701885887048553
Dragonite,#700AEE,0.6521080406667606,-0.2633488767857228
Mewtwo,#FF6996,0.6307881964528239,-0.30959472524778764
Mew,#FF6996,0.6342200496298633,-0.31986851635069463
Chikorita,#2DCD45,-1.1016665275958792,0.025684406168454146
Bayleef,#2DCD45,-1.1324899439966662,0.020143055603602564
Meganium,#2DCD45,-1.0903162837133915,0.011419582457233492
Cyndaquil,#F08030,-1.1506088387245794,0.020503007564711316
Quilava,#F08030,-1.0652216114636648,0.028557886228469165
Typhlosion,#F08030,-1.1248867538255654,0.04542157349384055
Totodile,#149EFF,-1.0896517119693256,0.011947728627707066
Croconaw,#149EFF,-1.162614461269521,0.027244921433343137
Feraligatr,#149EFF,-1.088247416777128,0.010705941303752851
Sentret,#A8A878,-1.0596180966819455,0.02220445368135742
Furret,#A8A878,-1.1067817416932086,0.01529636219062738
Hoothoot,#A8A878,-1.1086762858692676,0.022816531548652378
Noctowl,#A8A878,-1.1200318377950607,0.041067442289976976
Ledyba,#A8B820,-1.122954894900298,0.026610671482438255
Ledian,#A8B820,-1.1159917021254313,0.030071794248012953
Spinarak,#A8B820,-1.155472632085925,0.04628238413535776
Ariados,#A8B820,-1.0751399202647391,0.030230193557698303
Crobat,#883688,-1.1314579908679132,0.006042250649904181
Chinchou,#149EFF,-1.0906729871057432,0.02749250650804473
Lanturn,#149EFF,-1.0983379990796,0.014358475936477934
Pichu,#F8D030,-1.0818322290830016,0.02807837021778059
Cleffa,#EE99AC,-1.0876927217783505,0.04229878137195882
Igglybuff,#A8A878,-1.1834859241281983,0.03437080446867748
Togepi,#EE99AC,-1.1221821296059937,0.03523494833495863
Togetic,#EE99AC,-1.158852885638706,0.04843389485005365
Natu,#FF6996,-1.135103569248627,0.013479129091762904
Xatu,#FF6996,-1.122382124704902,0.014495121127909431
Mareep,#F8D030,-1.1359110938423378,0.03149714440001535
Flaaffy,#F8D030,-1.1087968495178167,0.030476810702807017
