Pokemon,Type,PCA_X,PCA_Y
Kadabra,#FF6996,0.7807439928163215,-0.2710734033988337
Alakazam,#FF6996,0.7631914578172166,-0.12866901746161483
Machop,#94352D,0.7520487216355378,0.0696612469333499
Machoke,#94352D,0.7682324344860896,0.23476541303584417
Machamp,#94352D,0.7358594327657133,0.3479503993666262
Bellsprout,#2DCD45,0.7902146785167172,-0.23100713704170797
Weepinbell,#2DCD45,0.7607042208167902,0.09266994176116364
Victreebel,#2DCD45,0.7530410755953545,0.21148012261111887
Tentacool,#149EFF,0.7393713024683825,-0.3001674459795642
Tentacruel,#149EFF,0.8058647638988968,0.20343621888872812
Geodude,#B8A038,0.7475184627348583,-0.21540218182771972
Graveler,#B8A038,0.821612894964434,0.06644485970642706
Golem,#B8A038,0.7911284365424067,0.3116777100860146
Ponyta,#F08030,0.7788828514814093,-0.20515942893200434
Rapidash,#F08030,0.7937628083848955,0.02698065912332276
Slowpoke,#149EFF,0.7975608397137517,0.24538491015719474
Slowbro,#149EFF,0.7866635156368162,0.31285666875209206
Magnemite,#F8D030,0.7389474173648642,-0.27525203726510383
Magneton,#F8D030,0.7708377182505594,-0.09285625695941771
Farfetch'd,#A8A878,0.673941136726662,-0.10989002109879742
Doduo,#A8A878,0.75703498869758,-0.3034024956448071
Dodrio,#A8A878,0.7803829436918639,-0.02141093112434018
Seel,#149EFF,0.8080154799564213,0.03489471330765612
Dewgong,#149EFF,0.7943309807512215,0.24898055298310215
Grimer,#883688,0.7566449416778042,0.17335163238521917
Muk,#883688,0.7774253398253734,0.31201464103478244
Shellder,#149EFF,0.6793886855870163,-0.3573259315706125
Cloyster,#149EFF,0.774718934558851,-0.1693031989044508
Gastly,#614C83,0.7235412509195798,-0.20053637644840772
Haunter,#614C83,0.7381432127302037,-0.03702170998608581
Gengar,#614C83,0.7347341794620658,0.09549846598024604
Onix,#B8A038,0.7845138058019264,-0.211800940751933
Drowzee,#FF6996,0.7426099749123978,-0.07635270119577924
Hypno,#FF6996,0.7967425458318613,0.2081934367042695
Krabby,#149EFF,0.7484961643759647,-0.31519060316835884
Kingler,#149EFF,0.7597232789569293,-0.094861531566516
Voltorb,#F8D030,0.7145047821073194,-0.2727929332625589
Electrode,#F8D030,0.7303181288759134,-0.006642342019459163
Exeggcute,#2DCD45,0.7178300978910775,-0.06487363359470515
Exeggutor,#2DCD45,0.7860952090963059,0.29614820918624957
Cubone,#E0C068,0.7276462065307607,-0.19983312658829164
Marowak,#E0C068,0.8136472847365576,-0.034082105138393604
Hitmonlee,#94352D,0.719566303255269,-0.22097965015590354
Hitmonchan,#94352D,0.7406459568639596,-0.1655440086905824
Lickitung,#A8A878,0.7951948834449706,0.23363830949570077
Koffing,#883688,0.7033846967280719,-0.24656620756578573
Weezing,#883688,0.738053684210472,0.021626721636849987
Rhyhorn,#E0C068,0.7736732668685226,0.2695200969581229
Rhydon,#E0C068,0.800602547101046,0.28015861186732716
Chansey,#A8A878,0.8274968738798195,0.2342208665027024
Tangela,#2DCD45,0.7555146437330996,0.02714278659393507
Kangaskhan,#A8A878,0.7788088188880379,0.34106557644278623
Horsea,#149EFF,0.7034873301340575,-0.3308994345969188
Seadra,#149EFF,0.7543013263532921,-0.06888168543454264
Goldeen,#149EFF,0.7786785830948219,-0.2141665152404606
Seaking,#149EFF,0.779547004426186,0.25917662342676
Staryu,#149EFF,0.7359488825989716,-0.3796266593963866
Starmie,#149EFF,0.8401161813037568,-0.019075385350170053
Scyther,#A8B820,0.7181459555338368,0.11541717044445893
Jynx,#98D8D8,0.7629527132232629,-0.012617898785144195
Electabuzz,#F8D030,0.7971337404405451,0.01054879525432927
Magmar,#F08030,0.7751090896279772,0.054739389915342315
Pinsir,#A8B820,0.7912246806945002,0.039387629928341446
Tauros,#A8A878,0.7843111799269896,0.14665292291892862
Magikarp,#149EFF,0.6515614184694781,-0.38056544379169116
Gyarados,#149EFF,0.8138715724048619,0.28777211544566056
Lapras,#149EFF,0.7944973732738345,0.17628664677574898
Ditto,#A8A878,0.6815865854540873,-0.1986604749940009
Eevee,#A8A878,0.7319850493113436,-0.12713586134658048
Vaporeon,#149EFF,0.8091117679007643,0.2348717073497882
Jolteon,#F8D030,0.7673081334134588,0.10589942099646243
Flareon,#F08030,0.8050745698118603,0.07610838423112676
Porygon,#A8A878,0.7188185930103026,0.03978289954764362
Omanyte,#B8A038,0.715885563675178,-0.22927964209937557
Omastar,#B8A038,0.7780159579194618,0.23718224186959558
Kabuto,#B8A038,0.7419831148446522,-0.22586866084222607
Kabutops,#B8A038,0.7523953096969036,0.12978204865121018
Aerodactyl,#B8A038,0.75708648027612,0.30613181827615954
Snorlax,#A8A878,0.8003383929153691,0.16532642178730533
Articuno,#98D8D8,0.759386614337137,0.2554827756970681
Zapdos,#F8D030,0.7549389349211714,0.2877600462064592
Moltres,#F08030,0.8054896046734499,0.31790651524245744
Dratini,#700AEE,0.7727021756820972,-0.2332359264410693
Dragonair,#700AEE,0.8064525084851818,0.032946460244132364
Dragonite,#700AEE,0.8323865970220983,0.3039601668325176
Mewtwo,#FF6996,0.7848959942958588,0.2861688606254845
Mew,#FF6996,0.8072759339343744,0.30432281620724083
Chikorita,#2DCD45,-1.1255372962468675,-0.001205768839023713
Bayleef,#2DCD45,-1.1660596982901412,-0.003482757890117487
Meganium,#2DCD45,-1.1177137020580834,0.009854724469588166
Cyndaquil,#F08030,-1.1899429813386824,0.007248900404017988
Quilava,#F08030,-1.0768184427140175,0.009400065735242371
Typhlosion,#F08030,-1.1521516060941126,0.004831982563085978
Totodile,#149EFF,-1.1132787058509468,0.00023127661274370597
Croconaw,#149EFF,-1.203855807531207,-0.0008611210571345711
Feraligatr,#149EFF,-1.1127078542132505,-0.0069122515055778586
Sentret,#A8A878,-1.0716262505909615,0.005627692710395762
Furret,#A8A878,-1.136277852547627,0.009045898720396333
Hoothoot,#A8A878,-1.1361131153820152,-0.00046852780982164377
Noctowl,#A8A878,-1.1492764935929165,0.005143480347149219
Ledyba,#A8B820,-1.1531844536585303,0.006044034680939485
Ledian,#A8B820,-1.1422842482734519,0.006224299305230708
Spinarak,#A8B820,-1.188738771344172,0.010284967003460046
Ariados,#A8B820,-1.0925114962573528,0.004124827520941262
Crobat,#883688,-1.1701345340441789,-0.0007084916299661426
Chinchou,#149EFF,-1.1119909050366192,0.011319163411612121
Lanturn,#149EFF,-1.124254875890681,0.009140405849581713
Pichu,#F8D030,-1.1030547254344216,-0.002080472361058516
Cleffa,#EE99AC,-1.1058877921061219,0.00010290381246950864
Igglybuff,#A8A878,-1.2293961869174006,-0.0070647381084392065
Togepi,#EE99AC,-1.1493273944252682,-0.0021434422052597052
Togetic,#EE99AC,-1.1938108492121509,0.005941243484656268
Natu,#FF6996,-1.1708686307430747,-0.00015950386028613017
Xatu,#FF6996,-1.1572854901026441,-0.005326614978138511
Mareep,#F8D030,-1.170010021827761,-0.0017433636941350456
Flaaffy,#F8D030,-1.1339784723454673,0.004178046894068641
Ampharos,#F8D030,-1.1725882025157983,0.004643050679803707
Bellossom,#2DCD45,-1.1291807393541469,0.008929789521972435
Marill,#149EFF,-1.1200050242701836,0.004282209309165313
Azumarill,#149EFF,-1.0764128931123533,0.0031082234678979337
Sudowoodo,#B8A038,-1.1203197426270781,0.006266111330566396
Politoed,#149EFF,-1.0687717953484237,0.009384510645327231
Hoppip,#2DCD45,-1.125985404312913,0.00833803374106342
Skiploom,#2DCD45,-1.1368447056488409,0.003835609183899585
Jumpluff,#2DCD45,-1.0623729030903313,0.011593736567759937
Aipom,#A8A878,-1.1169123149604214,0.0025922127212392888
Sunkern,#2DCD45,-1.140246761623673,0.0004655546432448808
Sunflora,#2DCD45,-1.1065354204969902,0.009374415859210615
Yanma,#A8B820,-1.1375651558939113,0.0023033191008167936
Wooper,#149EFF,-1.17831501392667,-0.002099257502189402
Quagsire,#149EFF,-1.1286863356617116,0.002867907130184207
Espeon,#FF6996,-1.1453482397741879,0.011871442009565615
Umbreon,#5C483B,-1.1683412080717697,0.002542723624717198
Murkrow,#5C483B,-1.1065116503945471,-0.0044305053796554585
Slowking,#149EFF,-1.1808081687767886,0.0013009809657041791
Misdreavus,#614C83,-1.172452735136813,-0.003749383097588276
Unown,#FF6996,-1.123356429690787,0.008122927847470802
Wobbuffet,#FF6996,-1.155053159148415,0.009307764097912757
Girafarig,#A8A878,-1.1509775181698216,0.001113852339861271
Pineco,#A8B820,-1.2198509505567414,0.008869211535027758
Forretress,#A8B820,-1.13945418629775,0.012109260565782884
Dunsparce,#A8A878,-1.1516950637016479,0.0025094248421879415
Gligar,#E0C068,-1.1446970942503247,-0.0012188604561430094
Steelix,#B8B8D0,-1.0545304789164804,0.009500304896184666
Snubbull,#EE99AC,-1.157298043682841,-0.0015398642317813627
Granbull,#EE99AC,-1.2003887273974898,-0.00012123580693764229
Qwilfish,#149EFF,-1.1338982510360534,0.00897935471032961
Scizor,#A8B820,-1.1561054015257508,0.000749296906737346
Shuckle,#A8B820,-1.1939016990161202,0.006180738970409967
Heracross,#A8B820,-1.1124086456491469,0.005765501250280596
Sneasel,#5C483B,-1.1346758676382198,0.008064743258673502
Teddiursa,#A8A878,-1.1487924659084578,0.007939293664658145
Ursaring,#A8A878,-1.0834427535968474,0.00908737312375697
Slugma,#F08030,-1.1443673027894992,0.0108445648141434
Magcargo,#F08030,-1.1562224121398634,-0.0015887706714162776
Swinub,#98D8D8,-1.1397673267685595,0.0020193619554529463
Piloswine,#98D8D8,-1.1287848068135489,0.001656555459771833
Corsola,#149EFF,-1.0760827069666221,0.012308864561124285
Remoraid,#149EFF,-1.1482210284642345,-0.0049343096189175956
Octillery,#149EFF,-1.1400466671680594,0.0048433903695447355
Delibird,#98D8D8,-1.1319430292101482,-0.004827476139383914
Mantine,#149EFF,-1.1465791694096872,0.0015516653357759956
Skarmory,#B8B8D0,-1.1436019799153407,-0.002976499968364854
Houndour,#5C483B,-1.1421720990070148,0.0016770705906311704
Houndoom,#5C483B,-1.1750935750157048,-0.002130184926724717
Kingdra,#149EFF,-1.1395456129441575,0.007138990264578802
Phanpy,#E0C068,-1.1252235561799868,-0.005261744744699138
Donphan,#E0C068,-1.1289303789292795,0.0011116047953523727
Porygon2,#A8A878,-1.1582354489353623,0.007636835121323508
Stantler,#A8A878,-1.1217421689137048,-0.00574272802268919
Smeargle,#A8A878,-1.1778510019313366,-0.0001693273482048393
Tyrogue,#94352D,-1.1280172499136916,0.00871319530829453
Hitmontop,#94352D,-1.178026512170099,0.003321364103628932
Smoochum,#98D8D8,-1.15221945940093,0.0022494791011499348
Elekid,#F8D030,-1.114253174994424,0.010443631248588828
Magby,#F08030,-1.1704389679307092,-0.002886337248084291
Miltank,#A8A878,-1.1867526721711328,-0.0037233147754509484
Blissey,#A8A878,-1.1604643685211302,0.005027598141150516
Raikou,#F8D030,-1.131591675690082,-0.001875965092227774
Entei,#F08030,-1.1402395089204513,0.005493400806438556
Suicune,#149EFF,-1.1511619682365106,-0.00666489327103884
Larvitar,#B8A038,-1.1729714977906065,-0.005991184003473233
Pupitar,#B8A038,-1.1479072194904758,-0.0011103878091686685
Tyranitar,#B8A038,-1.1150025943466446,0.011990355744025408
Lugia,#FF6996,-1.114952481449423,-4.543679674610477e-05
Ho-Oh,#F08030,-1.073534408965063,0.009930498299657031
Celebi,#FF6996,-1.1161558871216752,0.011666943947652301
