Term,PCA_X,PCA_Y
Poliwhirl,0.4719245894727204,0.331511751141349
Poliwrath,0.44816683715869615,0.2849355383775052
Abra,0.42925425117693783,0.24330106008240915
Kadabra,0.46721654045898636,0.25918121314411735
Alakazam,0.4469209640186688,0.28177420177369805
Machop,0.4367955349016347,0.25876400628808816
Machoke,0.4493446982489677,0.2947014424676927
Machamp,0.4238984707135295,0.2445037564047954
Bellsprout,0.4708024142306322,0.29448707838043686
Weepinbell,0.43733887642468583,0.3292543480040993
Victreebel,0.4337935690936785,0.3013627407185547
Tentacool,0.4188317925967499,0.3116372460913907
Tentacruel,0.4842974196435466,0.31485664656831375
Geodude,0.43454981254551284,0.26495877829850717
Graveler,0.5023164460937338,0.31024559647184946
Golem,0.4751972299151696,0.2781803529675243
Ponyta,0.4590554573753751,0.2907745978736869
Rapidash,0.47500283494528384,0.2899900044839573
Slowpoke,0.48218264196060673,0.28019529665498855
Slowbro,0.46766146099262773,0.30441281020364563
Magnemite,0.4254913896830806,0.2509970170370015
Magneton,0.4533819340112177,0.28335920925557984
Farfetch'd,0.34818611362200586,0.3402276280246361
Doduo,0.4367788966128318,0.30819834831066467
Dodrio,0.45868957874892824,0.3186524155491825
Seel,0.48557929006082695,0.32899320176071506
Dewgong,0.47372196386842363,0.31143147704896573
Grimer,0.441451201188104,0.26603228605866375
Muk,0.4585785215947439,0.30192170264302515
Shellder,0.35906400924569787,0.3024313958240441
Cloyster,0.45321054396388816,0.31761864158405967
Gastly,0.4120702218834024,0.24577966140481927
Haunter,0.42394716875336863,0.26169646498312904
Gengar,0.42375052433622434,0.2389920109675434
Onix,0.4683365177768524,0.2846114835543965
Drowzee,0.4252895679039504,0.2777261351197873
Hypno,0.4783482520661397,0.2974298886922327
Krabby,0.4314515872703674,0.2837682090439735
Kingler,0.43859441432041585,0.30461448866575946
Voltorb,0.39713511316054845,0.29170280661348497
Electrode,0.4085549248404446,0.315145864395459
Exeggcute,0.3975407634368137,0.31244881636087424
Exeggutor,0.46952678387883134,0.29479811061994415
Cubone,0.412794581764579,0.25576213511550006
Marowak,0.49292935225172957,0.3156126275192627
Hitmonlee,0.4027309266096008,0.2762214642747025
Hitmonchan,0.42573093662059747,0.2627770265703176
Lickitung,0.48171074664826885,0.2675650223938724
Koffing,0.38827620228951015,0.2593951278777952
Weezing,0.42009106266917123,0.2777987118354651
Rhyhorn,0.4578625833326549,0.2779450170750255
Rhydon,0.48889442718700843,0.2598848348791773
Chansey,0.5159201416074471,0.26039114806562996
Tangela,0.4331520529417546,0.3257227594477301
Kangaskhan,0.4599801550607777,0.3009162499374439
Horsea,0.38719119159374593,0.27153751540225546
Seadra,0.4285352586139417,0.34794957012549793
Goldeen,0.45977304253513196,0.2964312489892652
Seaking,0.45821402969670366,0.3234023495168333
Staryu,0.42012077201791614,0.2673568776548391
Starmie,0.5243731283324128,0.27935887915960433
Scyther,0.3975179866931598,0.29877770151280536
Jynx,0.4452073985342156,0.3050086027659336
Electabuzz,0.4711280608258408,0.35750052005397054
Magmar,0.45564233596648357,0.30850312563891635
Pinsir,0.4677829296657906,0.3388243108776192
Tauros,0.4633961403223522,0.2989130031978752
Magikarp,0.33057919318127355,0.30397174026016693
Gyarados,0.49407556690023274,0.3154306159860164
Lapras,0.48076797115117215,0.27570244563569335
Ditto,0.35973868853627433,0.31135905973370376
Eevee,0.4116670705664744,0.3026160966905236
Vaporeon,0.4969083493835648,0.26239281051966534
Jolteon,0.45109341292934646,0.26998876088025414
Flareon,0.48402813685724255,0.3072386907109091
Porygon,0.3974861298789014,0.32438028693384824
Omanyte,0.3983766997878401,0.28307490795906504
Omastar,0.456804012940379,0.3201591153044426
Kabuto,0.4254909491678177,0.27645591125749
Kabutops,0.43501127905738013,0.2865284897395257
Aerodactyl,0.4439182383145845,0.25816270628846943
Snorlax,0.48584570634846885,0.27519160758368
Articuno,0.4442649434383329,0.27035012697223887
Zapdos,0.43773748435394977,0.2795048014337378
Moltres,0.4870375076265125,0.2963194941311406
Dratini,0.4565837533758847,0.2855706277768107
Dragonair,0.4917424596125167,0.26911120510148334
Dragonite,0.5166460895612742,0.2800623777962298
Mewtwo,0.47059810363807947,0.27380165616378893
Mew,0.4957384335456982,0.2544925948929864
Chikorita,-1.4226411166489348,0.014025993154849835
Bayleef,-1.463001950208402,0.00902758280494763
Meganium,-1.414512526382739,0.011499907327684612
Cyndaquil,-1.4867611961776317,0.006283177560494459
Quilava,-1.3741100264476866,0.020327845965178955
Typhlosion,-1.448898335829417,0.010668718554069588
Totodile,-1.4102748212938587,0.015519444528654102
Croconaw,-1.500053797729561,0.002057738969573043
Feraligatr,-1.4097022862651938,0.015151686564367692
Sentret,-1.3682349607591957,0.017155636587339537
Furret,-1.4334813950266867,0.012598415320439803
Hoothoot,-1.4327395269870837,0.010975550934519053
Noctowl,-1.4466513092086564,0.013569956481469702
Ledyba,-1.4505102993274024,0.012694716034931875
Ledian,-1.4394450112291948,0.01253362908167848
Spinarak,-1.4854729675797447,0.0061045899886439286
Ariados,-1.3894656528704872,0.01542839161257896
Crobat,-1.4666497972682893,0.005007971674845749
Chinchou,-1.4080610548601133,0.00962467729387024
Lanturn,-1.421621138371444,0.017006140517305337
Pichu,-1.400114470994177,0.015371391139256068
Cleffa,-1.4037689322927334,0.021761651297293055
Igglybuff,-1.5265513156625898,0.0028160518797738206
Togepi,-1.4462282647489233,0.011749414934142631
Togetic,-1.4901500771526666,0.0027857090289133747
Natu,-1.467560446412859,0.007673958993024281
Xatu,-1.4544785612322544,0.011652044157231561
Mareep,-1.4671213108204872,0.010289939501482971
Flaaffy,-1.431167401909785,0.014360718612244486
Ampharos,-1.4686901763209923,0.0024958977346010445
Bellossom,-1.4257098807710993,0.013298258572249953
Marill,-1.416800755444484,0.011647651936689271
Azumarill,-1.3730152113114973,0.01823032080907206
Sudowoodo,-1.4166017711716763,0.009861382432937294
Politoed,-1.365204003568559,0.01707811457191523
Hoppip,-1.4237840936232655,0.020205479661899655
Skiploom,-1.4346851352545524,0.01687996253085938
Jumpluff,-1.3595826075136987,0.022695646975093933
Aipom,-1.4144856406946709,0.019305291885440876
Sunkern,-1.4374153200930893,0.014301894141187892
Sunflora,-1.4038041450203502,0.014786049890348506
Yanma,-1.435016668568302,0.0158561416796272
Wooper,-1.4751767203972859,0.006564863335586372
Quagsire,-1.4260388255777905,0.01320629836467237
Espeon,-1.4420630910432148,0.009663486919957793
Umbreon,-1.4653256167186073,0.010110788524219944
Murkrow,-1.4032923953366632,0.014118169128748328
Slowking,-1.4774482500930475,0.005477597848831154
Misdreavus,-1.468856340373938,0.005833037781038538
Unown,-1.4204560530369283,0.013989427652946116
Wobbuffet,-1.4526024817034,0.014428715949845005
Girafarig,-1.4480717860734857,0.01288789773745351
Pineco,-1.5168357607847884,0.006181928690935247
Forretress,-1.4358637139596286,0.009107287945185137
Dunsparce,-1.448878675953572,0.013884805122392822
Gligar,-1.441829295244016,0.010686335446288166
Steelix,-1.351718663121249,0.022126817695885058
Snubbull,-1.455024979513471,0.015873068225197195
Granbull,-1.4964990408363321,-0.0001571355021295023
Qwilfish,-1.4311958359401624,0.014478707116169137
Scizor,-1.45264640005697,0.00786401275422338
Shuckle,-1.4901110327803035,0.002354260290992545
Heracross,-1.4086505612072275,0.011691493054314842
Sneasel,-1.4312794417766477,0.011342743268961309
Teddiursa,-1.445977706543981,0.013055859872021878
Ursaring,-1.3800872031035867,0.013183931608906081
Slugma,-1.440889533889863,0.009458864407027147
Magcargo,-1.453200070815268,0.010392074458519888
Swinub,-1.4366090749443543,0.011521025303161373
Piloswine,-1.4262449745459111,0.015891683704559408
Corsola,-1.3732250258325986,0.020914425956737478
Remoraid,-1.4449796466211253,0.010769607933696466
Octillery,-1.4370764661752131,0.01333749227835491
Delibird,-1.4290378117603133,0.0151783412783409
Mantine,-1.4433072716800126,0.01061764205297497
Skarmory,-1.4408154614099298,0.014096642013177882
Houndour,-1.4397209181855282,0.016274887985558116
Houndoom,-1.4719740728304485,0.008209374837927969
Kingdra,-1.4365621504933288,0.011703298551829033
Phanpy,-1.4219285928986352,0.013983483960611063
Donphan,-1.4259727342424868,0.016136578157301275
Porygon2,-1.4558204796793144,0.013805949165046634
Stantler,-1.4180300626147766,0.013048762136197416
Smeargle,-1.4756561125553336,0.012887996327051678
Tyrogue,-1.4242783925709646,0.00990950409805094
Hitmontop,-1.4744070807008665,0.005580570032929103
Smoochum,-1.4486272504320383,0.0067759684414800654
Elekid,-1.4104256244607154,0.010417705020044904
Magby,-1.4657855370885808,-0.00011145653302468053
Miltank,-1.4828312743107375,0.002457909502473116
Blissey,-1.4566347961409531,0.005074369279921357
Raikou,-1.4282946079672243,0.01166850567922866
Entei,-1.437461076112928,0.014416458945653864
Suicune,-1.4481058681357313,0.010164613801528725
Larvitar,-1.4697653381959799,0.009911056818182504
Pupitar,-1.4453014904588486,0.01325524897855968
Tyranitar,-1.4114544332885557,0.011731297812264863
Lugia,-1.4118252833093055,0.013064124807725612
Ho-Oh,-1.3712882920649494,0.02298400781119762
Celebi,-1.4133970818907948,0.017263598781845205
Absorb,0.3282860366319069,-0.22561048630969155
Acid,0.3958073212340665,-0.26490675104584716
Agility,0.38605899647297676,-0.2135382775130317
Ancient Power,0.3060960846592714,-0.2993764006329211
Aurora Beam,0.3235581477152549,-0.2069303279321762
Barrage,0.395918468752371,-0.25150366918357386
Bide,0.6109489849011321,-0.23903809352908892
Bind,0.5339710030595369,-0.2711660623223166
Bite,0.4814268734258804,-0.3239791770904876
Blizzard,0.359554929237218,-0.2616359790175488
Body Slam,0.5087201564917694,-0.3229731213909027
Bone Club,0.24678294619059862,-0.23387637231558223
Bone Rush,0.29365862031780415,-0.2473225706037524
Bonemerang,0.22166686091848742,-0.2640608113306961
Bubble,0.347097494775047,-0.25503906176660135
Bubble Beam,0.4064190211167093,-0.27707798507852127
Bubblebeam,0.2968536353201262,-0.20780675809149302
Clamp,0.32007962572844423,-0.22200310087275374
Comet Punch,0.3924932556342817,-0.23596755748266546
Confuse Ray,0.36435291551368465,-0.2558675013472008
Confusion,0.4099002125499391,-0.2518139739602006
Constrict,0.3979998066593392,-0.24443293210272277
Counter,0.3416126132443107,-0.26963174392584005
Crabhammer,0.33739717101129185,-0.24631298106919425
Cross Chop,0.26107595639666237,-0.23311092881968418
Crunch,0.26226499961109395,-0.2333160231201132
Cut,0.45878960503768973,-0.3069441753424167
Dig,0.5566020145091902,-0.24439832715954654
Dizzy Punch,0.38706210573160144,-0.2715550562734926
Double Edge,0.5395366938651651,-0.341812478780051
Double Kick,0.2759305494186488,-0.24657695621126813
Double Slap,0.41499714958695494,-0.28013340709319745
Dragon Breath,0.2871724245045977,-0.2101865143908814
Dragon Rage,0.2977795398534428,-0.2625848477720574
Dream Eater,0.4274093453578216,-0.28482530086567415
Drill Peck,0.3229359070643739,-0.22212381789858654
Dynamic Punch,0.3311675155076269,-0.2857793586063343
Earthquake,0.37555508906863433,-0.2707438574584879
Egg Bomb,0.453173349087694,-0.27343157857098876
Ember,0.35789334654312177,-0.2710804432965584
Explosion,0.4928960910591788,-0.27106084050300266
Extreme Speed,0.4301839358777778,-0.2897148400879541
False Swipe,0.44612696332681306,-0.30267719078915784
Feint Attack,0.23233643229222176,-0.16180478030804102
Fire Blast,0.40100467355692393,-0.27437077153561734
Fire Punch,0.36670606318336463,-0.26924973030750826
Fire Spin,0.5022359342131298,-0.27594425858500893
Fissure,0.33811635194705225,-0.27697182738980297
Flame Wheel,0.32603320960648996,-0.24613379958003134
Flamethrower,0.38680016574811843,-0.3271803074320889
Fly,0.5253292553143964,-0.1960866396042093
Fury Attack,0.44077728880741246,-0.2654239679061377
Fury Cutter,0.34573520178208955,-0.3015680091106645
Fury Swipes,0.4354417743988108,-0.27817498315275135
Future Sight,0.3235839337131148,-0.2518663271702997
Giga Drain,0.3855645293338299,-0.2797233463897408
Glare,0.40622391302964656,-0.23481801099042354
Growl,0.4552250780366068,-0.28852051345830493
Growth,0.4558141624697434,-0.18899229449206625
Gust,0.44172677119118237,-0.27618671428090974
Harden,0.46332538786375016,-0.19908220402236915
Headbutt,0.556739153841059,-0.3415636937756209
Hidden Power,0.5414646140713633,-0.34039477034325494
High Jump Kick,0.2769157015583581,-0.22476763751360423
Horn Attack,0.4162699540240349,-0.3016912671212855
Hydro Pump,0.3626623164367613,-0.28805335999496356
Hyper Beam,0.5048909654005723,-0.32720260345131086
Hyper Fang,0.43822445984647485,-0.27382614629317203
Hypnosis,0.5373864598391576,-0.2552593329182525
Ice Beam,0.348918432405369,-0.2528868871675076
Ice Punch,0.37131417987573123,-0.26386649134655327
Icy Wind,0.34922205389775446,-0.29366006132209427
Iron Tail,0.35310708672250485,-0.29255913456260557
Jump Kick,0.2896608601930156,-0.26828772277947827
Karate Chop,0.26617835121342326,-0.23343871585256568
Leech Life,0.3517191187168761,-0.2593858865605739
Leech Seed,0.2805544805749998,-0.21398721377659133
Leer,0.4447565861178746,-0.3169016596440808
Lick,0.30602905847447687,-0.23846944533611272
Light Screen,0.40494989322611147,-0.23458415872274316
Lovely Kiss,0.40792435520925757,-0.25422172582770725
Low Kick,0.29730308803022926,-0.28334219715198594
Mach Punch,0.26993085117460885,-0.23967337096810368
Mega Drain,0.38701393084566205,-0.2869486833625287
Mega Kick,0.46817401755148513,-0.3089357278749605
Mega Punch,0.47841396941731973,-0.29897537538303964
Megahorn,0.3317538301402266,-0.27962318789162915
Metal Claw,0.25718768246086327,-0.19303953133157173
Mud Slap,0.36492131013281826,-0.29925173343728934
Night Shade,0.3265689668962235,-0.24839442084736119
Octazooka,0.28466464491324833,-0.20909585594299415
Outrage,0.35051848688567455,-0.22724848750743074
Pay Day,0.43967502558386734,-0.3051329573233913
Peck,0.35856171158811456,-0.23749126846953447
Petal Dance,0.324383850857408,-0.22660865927522253
Pin Missile,0.3144744969079051,-0.28938822344653947
Poison Powder,0.3510308632247549,-0.2637138462275583
Poison Sting,0.37100933678431036,-0.2775014273534798
Pound,0.48611758197171684,-0.28432539005158064
